Area,BuildStruc,BuildType,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
89.95㎡,钢混结构,板楼,菊泉新城(陆翔路678弄),精装,无,高楼层 (共5层),11,南,,宝山,顾村,,310,3室2厅1厨1卫,34464
84.49㎡,钢混结构,板楼,丰翔新城,毛坯,有,高楼层 (共16层),2,南,,宝山,上大,,290,2室2厅1厨1卫,34324
90㎡,钢混结构,板楼,上坤乐城,精装,有,低楼层 (共12层),2,南 北,,宝山,顾村,,350,3室2厅1厨1卫,38889
84.14㎡,砖混结构,板楼,菊泉小区,精装,无,低楼层 (共6层),1,南 北,,宝山,顾村,,310,2室2厅1厨1卫,36844
46.81㎡,砖混结构,板楼,共康八村,简装,无,高楼层 (共6层),10,南 北,,宝山,共康,,180,1室1厅1厨1卫,38454
50.93㎡,钢混结构,板楼,古北菊翔苑(菊联路233弄),简装,无,中楼层 (共6层),12,南 北,,宝山,顾村,,236,1室1厅1厨1卫,46339
93.74㎡,钢混结构,板楼,上大聚丰园,精装,有,高楼层 (共7层),4,南,,宝山,上大,,410,2室2厅1厨1卫,43738
51.65㎡,砖混结构,板楼,共康六村,简装,无,高楼层 (共6层),6,南,,宝山,共康,,215,1室1厅1厨1卫,41627
50.93㎡,钢混结构,板楼,古北菊翔苑(菊联路233弄),精装,无,高楼层 (共6层),17,南 北,,宝山,顾村,,219,1室1厅1厨1卫,43001
52.44㎡,砖混结构,板楼,长江路440弄,精装,无,高楼层 (共6层),6,南,,宝山,淞南,,195,2室1厅1厨1卫,37186
93.37㎡,钢混结构,板楼,中冶祥腾宝月花园,精装,有,中楼层 (共14层),8,南 北,,宝山,月浦,,300,3室2厅1厨1卫,32131
77.05㎡,钢混结构,板楼,文宝苑,毛坯,有,中楼层 (共11层),30,南,,宝山,顾村,,342,2室2厅1厨1卫,44387
88.64㎡,钢混结构,板楼,嘉骏香山苑,简装,无,高楼层 (共6层),28,南 北,,宝山,淞南,,490,4室2厅1厨2卫,55280
78.71㎡,砖混结构,板楼,环镇北路600弄,简装,无,低楼层 (共6层),8,南,,宝山,大场镇,,308,2室2厅1厨1卫,39131
107.11㎡,钢混结构,板楼,海尚明城,精装,有,低楼层 (共18层),7,南,,宝山,杨行,,380,3室2厅1厨1卫,35478
72.34㎡,钢混结构,板楼,淞南七村,精装,无,高楼层 (共7层),80,南,,宝山,淞南,,265,2室1厅1厨1卫,36633
102㎡,钢混结构,板楼,宝景苑,精装,有,中楼层 (共11层),16,南 北,,宝山,淞南,,510,2室2厅1厨1卫,50000
59.48㎡,砖混结构,板楼,华浜新村,精装,无,中楼层 (共6层),28,南,,宝山,淞南,,250,2室1厅1厨1卫,42031
61.63㎡,砖混结构,板楼,春雷路354弄,简装,无,高楼层 (共6层),10,南,,宝山,月浦,,204,2室1厅1厨1卫,33101
55.42㎡,砖混结构,板楼,乐业五村,精装,无,中楼层 (共6层),27,南,,宝山,月浦,,185,2室1厅1厨1卫,33382
69.11㎡,砖混结构,板楼,庆安一村,简装,无,高楼层 (共6层),39,南 北,,宝山,月浦,,210,3室1厅1厨1卫,30387
43.39㎡,砖混结构,板楼,永清二村,毛坯,无,中楼层 (共6层),9,南,,宝山,淞宝,,168,1室1厅1厨1卫,38719
109㎡,钢混结构,板楼,保利叶之林(二期),精装,有,低楼层 (共14层),29,南 北,,宝山,上大,,530,2室2厅1厨2卫,48624
55.5㎡,砖混结构,板楼,海滨四村,简装,无,中楼层 (共6层),14,南 北,,宝山,淞宝,,205,2室1厅1厨1卫,36937
78.88㎡,钢混结构,板楼,长宏新苑,精装,无,低楼层 (共6层),19,南,,宝山,淞南,,380,2室1厅1厨1卫,48175
112.09㎡,钢混结构,板楼,学林苑,简装,有,低楼层 (共11层),8,南,,宝山,上大,,480,2室2厅1厨1卫,42823
74.18㎡,砖混结构,板楼,乐业五村,简装,无,高楼层 (共6层),24,南 北,,宝山,月浦,,225,2室2厅1厨1卫,30332
85.41㎡,钢混结构,板楼,当代高邸,简装,无,高楼层 (共6层),11,南,,宝山,上大,,429,2室2厅1厨1卫,50229
51.88㎡,砖混结构,板楼,共康六村,简装,无,中楼层 (共6层),5,南,,宝山,共康,,255,1室1厅1厨1卫,49152
87.95㎡,钢混结构,板楼,三湘海尚城(公寓),精装,有,低楼层 (共18层),10,南,,宝山,淞南,,560,2室2厅1厨1卫,63673
39.81㎡,砖混结构,板楼,长江路28弄,精装,无,高楼层 (共6层),6,南,,宝山,淞南,,145,1室1厅1厨1卫,36424
96㎡,钢混结构,板楼,旭辉澜悦湾,精装,有,高楼层 (共18层),19,南 北,,宝山,罗泾,,225,3室1厅1厨1卫,23438
126.65㎡,钢混结构,板楼,旭辉澜悦湾,精装,有,高楼层 (共18层),21,南,,宝山,罗泾,,310,3室2厅1厨2卫,24477
89.4㎡,砖混结构,板楼,泰和新城(泰和西路3463弄),简装,无,中楼层 (共6层),64,南 北,,宝山,顾村,,265,2室2厅1厨1卫,29643
70.69㎡,钢混结构,板楼,丰水宝邸(东苑),精装,有,中楼层 (共6层),66,南,,宝山,顾村,,260,2室2厅1厨1卫,36781
76.76㎡,钢混结构,板楼,馨佳园(菊泉街1346弄),毛坯,有,低楼层 (共24层),23,南,,宝山,顾村,,275,2室2厅1厨1卫,35826
56.6㎡,砖混结构,板楼,海滨八村,简装,无,高楼层 (共6层),7,南,,宝山,淞宝,,212,2室1厅1厨1卫,37456
97.97㎡,钢混结构,板楼,新城尚景,精装,有,低楼层 (共16层),17,南 北,,宝山,淞南,,480,2室2厅1厨2卫,48995
48.29㎡,砖混结构,板楼,大华二村,简装,无,高楼层 (共6层),1,南,,宝山,大华,,225,1室1厅1厨1卫,46594
38.87㎡,砖混结构,板楼,庆安一村,简装,无,高楼层 (共6层),5,南,,宝山,月浦,,140,1室1厅1厨1卫,36018
54.95㎡,砖混结构,板楼,淞南九村,毛坯,无,高楼层 (共6层),10,南,,宝山,淞南,,223,2室1厅1厨1卫,40583
57.61㎡,钢混结构,板楼,菊泉新城(陆翔路698弄),精装,有,低楼层 (共11层),2,南,,宝山,顾村,,230,1室2厅1厨1卫,39924
52.91㎡,砖混结构,板楼,共康八村,简装,无,高楼层 (共6层),0,南,,宝山,共康,,220,1室1厅1厨1卫,41581
84.05㎡,钢混结构,板楼,美兰湖颐景园,精装,无,中楼层 (共5层),5,南 北,,宝山,罗店,,294,2室1厅1厨1卫,34980
36.55㎡,砖混结构,板楼,海江二村,简装,无,高楼层 (共6层),0,南,,宝山,淞宝,,155,1室0厅1厨1卫,42408
67.5㎡,砖混结构,板楼,罗太路449弄,简装,无,高楼层 (共6层),7,南,,宝山,罗店,,168,2室1厅1厨1卫,24889
54.95㎡,砖混结构,板楼,海滨新村,简装,无,高楼层 (共6层),5,南 北,,宝山,淞宝,,193,2室1厅1厨1卫,35123
53.86㎡,砖混结构,板楼,罗南一村,简装,无,高楼层 (共6层),14,南,,宝山,罗店,,162,2室1厅1厨1卫,30078
51.38㎡,砖混结构,板楼,马泾桥二村,毛坯,无,低楼层 (共4层),4,南,,宝山,月浦,,130,2室0厅1厨1卫,25302
32.23㎡,砖混结构,板楼,宝城二村,精装,无,低楼层 (共6层),4,南 北,,宝山,淞宝,,162,1室1厅1厨1卫,50264
122.97㎡,钢混结构,板楼,三湘海尚城(公寓),精装,有,高楼层 (共18层),22,南 北,,宝山,淞南,,700,3室2厅1厨1卫,56925
44.79㎡,未知结构,暂无数据,向阳新村(宝山),毛坯,暂无数据,高楼层 (共5层),19,南,,宝山,罗店,,108,1室1厅1厨1卫,24113
52.67㎡,砖混结构,板楼,大华二村,精装,无,高楼层 (共6层),25,南,,宝山,大华,,239,1室1厅1厨1卫,45377
49.62㎡,砖混结构,板楼,泗塘七村,简装,无,低楼层 (共6层),11,南,,宝山,张庙,,195,1室1厅1厨1卫,39299
71.91㎡,钢混结构,板楼,金地艺境(宝山),精装,有,高楼层 (共33层),5,南 北,,宝山,上大,,273,2室1厅1厨1卫,37965
102㎡,钢混结构,板楼,宝景苑,精装,有,高楼层 (共11层),34,南,,宝山,淞南,,495,2室1厅1厨1卫,48530
90.87㎡,钢混结构,板楼,中环一号(二期),精装,有,中楼层 (共18层),41,南,,宝山,大华,,523,2室2厅1厨1卫,57555
52.17㎡,砖混结构,板楼,宝钢十一村,简装,无,中楼层 (共6层),8,南,,宝山,淞宝,,215,2室0厅1厨1卫,41212
29.5㎡,砖混结构,板楼,泰和路678弄,精装,无,高楼层 (共5层),38,南,,宝山,淞宝,,120,1室0厅1厨1卫,40678
53.11㎡,钢混结构,板楼,玉华苑,简装,无,中楼层 (共6层),17,南,,宝山,大华,,299,1室1厅1厨1卫,56299
65.53㎡,砖混结构,板楼,淞南小八村,精装,无,高楼层 (共6层),19,南,,宝山,淞南,,263,2室1厅1厨1卫,40135
78.87㎡,钢混结构,板楼,长宏新苑,精装,无,中楼层 (共6层),29,南,,宝山,淞南,,385,2室1厅1厨1卫,48815
64.34㎡,砖混结构,板楼,海江二村,简装,无,低楼层 (共6层),8,南,,宝山,淞宝,,245,2室1厅1厨1卫,38079
43.16㎡,砖混结构,板楼,淞南大八村,简装,无,低楼层 (共6层),3,南,,宝山,淞南,,188,1室1厅1厨1卫,43559
65.28㎡,砖混结构,板楼,海滨二村(宝山),简装,无,中楼层 (共5层),14,南 北,,宝山,淞宝,,260,3室0厅1厨1卫,39829
111.45㎡,钢混结构,板楼,惠阳苑,简装,无,中楼层 (共5层),12,南 北,,宝山,月浦,,285,3室2厅1厨1卫,25573
67.03㎡,砖混结构,板楼,同泰北路401弄,简装,无,低楼层 (共6层),9,南,,宝山,淞宝,,260,2室1厅1厨1卫,38789
85.33㎡,钢混结构,板楼,菊泉新城(陆翔路698弄),精装,有,低楼层 (共14层),27,南 北,,宝山,顾村,,320,2室1厅1厨1卫,37502
44.15㎡,砖混结构,板楼,淞南六村,简装,无,高楼层 (共6层),14,南,,宝山,淞南,,176.8,1室1厅1厨1卫,40046
76.96㎡,钢混结构,板楼,万科琥珀郡园,精装,有,高楼层 (共6层),2,南,,宝山,罗店,,390,2室1厅1厨1卫,50676
128㎡,钢混结构,板楼,美兰湖岭域,精装,有,低楼层 (共7层),38,南,,宝山,罗店,,450,3室2厅1厨2卫,35157
51.99㎡,砖混结构,板楼,宝钢十一村,简装,无,高楼层 (共6层),1,南 北,,宝山,淞宝,,210,2室1厅1厨1卫,40393
55.66㎡,砖混结构,板楼,临江二村,简装,无,高楼层 (共6层),17,南,,宝山,淞宝,,220,2室1厅1厨1卫,39526
50.89㎡,砖混结构,板楼,宝钢十一村,精装,无,高楼层 (共6层),24,南,,宝山,淞宝,,195,2室1厅1厨1卫,38318
60.28㎡,钢混结构,塔楼,月浦八村,简装,有,高楼层 (共18层),5,南,,宝山,月浦,,175,2室1厅1厨1卫,29032
74.35㎡,钢混结构,板楼,信达郡庭,精装,无,中楼层 (共4层),64,西南,,宝山,罗店,,320,2室2厅1厨1卫,43040
78.11㎡,钢混结构,板楼,馨佳园(菊泉街1398弄),毛坯,有,高楼层 (共24层),7,南,,宝山,顾村,,285,2室2厅1厨1卫,36488
67.23㎡,砖混结构,板楼,淞南七村,简装,无,高楼层 (共6层),57,南,,宝山,淞南,,258,2室1厅1厨1卫,38376
44.9㎡,砖混结构,板楼,祁连一村,精装,无,高楼层 (共6层),92,南,,宝山,上大,,175,1室1厅1厨1卫,38976
51㎡,钢混结构,板楼,丰水宝邸(西苑),精装,有,中楼层 (共14层),26,南,,宝山,顾村,,225,1室1厅1厨1卫,44118
87.85㎡,钢混结构,板楼,美兰湖中华园,精装,有,高楼层 (共6层),7,南,,宝山,罗店,,320,2室2厅1厨1卫,36426
62.58㎡,砖混结构,板楼,锦龙苑,精装,无,高楼层 (共6层),25,南,,宝山,上大,,255,2室1厅1厨1卫,40748
54.18㎡,钢混结构,板楼,菊泉新城(陆翔路358弄),简装,无,高楼层 (共6层),54,南 北,,宝山,顾村,,212,1室1厅1厨1卫,39129
54㎡,砖混结构,板楼,乾溪新村,简装,无,中楼层 (共4层),4,南,,宝山,大场镇,,237,1室1厅1厨1卫,43889
64.78㎡,砖混结构,板楼,祁连四村,简装,无,中楼层 (共6层),17,南,,宝山,上大,,268,1室2厅1厨1卫,41371
82.92㎡,砖混结构,板楼,东南弄村公寓,简装,无,中楼层 (共6层),14,南,,宝山,罗店,,215,2室2厅1厨1卫,25929
91.05㎡,砖混结构,板楼,罗溪花苑,简装,无,中楼层 (共5层),34,南,,宝山,罗店,,215,2室1厅1厨1卫,23614
92.46㎡,钢混结构,板楼,美兰湖岭域,精装,有,低楼层 (共6层),5,南,,宝山,罗店,,400,2室2厅1厨1卫,43262
47.46㎡,砖混结构,板楼,月浦五村,精装,无,中楼层 (共5层),2,南,,宝山,月浦,,155,2室1厅1厨1卫,32660
40.07㎡,砖混结构,板楼,月浦五村,简装,无,高楼层 (共5层),1,南,,宝山,月浦,,125,1室1厅1厨1卫,31196
32.69㎡,砖混结构,板楼,宝钢四村,简装,无,中楼层 (共5层),0,南,,宝山,淞宝,,210,1室1厅1厨1卫,64240
66.27㎡,钢混结构,板楼,宝沁苑,精装,有,中楼层 (共18层),0,南,,宝山,顾村,,270,1室1厅1厨1卫,40743
113.93㎡,钢混结构,板楼,远景佳苑一期,简装,无,低楼层 (共6层),11,南,,宝山,大华,,650,3室2厅1厨2卫,57053
40.5㎡,砖混结构,板楼,泗东新村,毛坯,无,中楼层 (共5层),1,南,,宝山,淞宝,,142,1室1厅1厨1卫,35062
56.07㎡,砖混结构,板楼,月浦十村,简装,无,高楼层 (共6层),1,南,,宝山,月浦,,170,2室1厅1厨1卫,30320
89.17㎡,砖混结构,板楼,南东路19号,精装,无,高楼层 (共6层),0,南,,宝山,罗店,,260,2室2厅1厨1卫,29158
97.16㎡,钢混结构,板楼,富浩河滨花园,简装,无,中楼层 (共6层),2,南,,宝山,月浦,,330,2室2厅1厨1卫,33965
54.17㎡,砖混结构,板楼,月浦八村,其他,无,高楼层 (共6层),4,南,,宝山,月浦,,175,2室1厅1厨1卫,32306
57.68㎡,砖混结构,板楼,海滨五村,简装,无,高楼层 (共6层),5,南,,宝山,淞宝,,228,2室1厅1厨1卫,39529
96.89㎡,钢混结构,板楼,新月福邸,简装,无,低楼层 (共6层),3,南 北,,宝山,月浦,,350,2室2厅1厨1卫,36124
105.66㎡,钢混结构,板楼,远洋7号,精装,有,中楼层 (共12层),22,南,,宝山,罗店,,415,3室2厅1厨1卫,39277
108.59㎡,砖混结构,板楼,庆安苑,简装,无,中楼层 (共6层),2,南,,宝山,月浦,,380,3室2厅1厨1卫,34995
47.48㎡,砖混结构,板楼,共和小区,精装,无,高楼层 (共6层),10,南,,宝山,张庙,,218,2室1厅1厨1卫,45915
50.21㎡,砖混结构,板楼,淞兴路343号,简装,无,中楼层 (共6层),88,南 北,,宝山,淞宝,,160,2室0厅1厨1卫,31867
55.84㎡,砖混结构,板楼,高境二村,精装,无,高楼层 (共6层),33,南,,宝山,高境,,235,1室1厅1厨1卫,42085
77.6㎡,钢混结构,板楼,采菊苑,精装,有,低楼层 (共11层),161,南,,宝山,顾村,,318,2室2厅1厨1卫,40980
96.71㎡,砖混结构,板楼,天馨花园(公寓),精装,无,低楼层 (共6层),40,南,,宝山,杨行,,380,3室2厅1厨1卫,39293
56.62㎡,砖混结构,板楼,泰和路318弄,简装,无,中楼层 (共5层),63,南,,宝山,淞宝,,173,2室1厅1厨1卫,30555
64.28㎡,砖混结构,板楼,乾溪新村,简装,无,高楼层 (共6层),30,南 北,,宝山,大场镇,,250,2室1厅1厨1卫,38893
90.62㎡,钢混结构,板楼,新天地荻泾花园,毛坯,有,高楼层 (共16层),12,南,,宝山,顾村,,335,2室2厅1厨1卫,36968
60.28㎡,钢混结构,塔楼,月浦八村,简装,有,低楼层 (共18层),7,南,,宝山,月浦,,170,2室0厅1厨1卫,28202
51㎡,砖混结构,板楼,冶金小区(宝山),简装,无,中楼层 (共6层),0,南,,宝山,张庙,,255,1室1厅1厨1卫,50000
91.94㎡,钢混结构,板楼,景泰公寓,精装,有,中楼层 (共16层),14,南,,宝山,淞宝,,430,2室1厅1厨1卫,46770
44.15㎡,砖混结构,板楼,长征新村,简装,无,中楼层 (共5层),34,南,,宝山,淞宝,,165,2室0厅1厨1卫,37373
88.55㎡,钢混结构,板楼,丰翔新城,精装,有,低楼层 (共16层),10,南 北,,宝山,上大,,325,3室1厅1厨1卫,36703
102.38㎡,钢混结构,板楼,三湘海尚城(公寓),精装,有,低楼层 (共18层),15,南,,宝山,淞南,,585,2室2厅1厨1卫,57141
49.9㎡,砖混结构,板楼,海滨新村,精装,无,高楼层 (共6层),62,南,,宝山,淞宝,,175,2室0厅1厨1卫,35071
57.91㎡,砖混结构,板楼,海滨四村,简装,无,高楼层 (共6层),4,东南,,宝山,淞宝,,200,2室1厅1厨1卫,34537
