Area,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
50.58㎡,华浜新村,简装,无,高楼层 (共5层),18,南,,宝山,淞南,,190,2室1厅1厨1卫,37565
,,,,,,,,,,,,,
125㎡,罗盛苑,精装,无,高楼层 (共6层),8,南,,宝山,罗店,,330,3室2厅1厨2卫,26400
,,,,,,,,,,,,,
34.44㎡,泗塘二村,精装,无,高楼层 (共6层),27,南,,宝山,张庙,,143,1室0厅1厨1卫,41522
,,,,,,,,,,,,,
50.93㎡,古北菊翔苑(菊联路233弄),精装,无,高楼层 (共6层),16,南 北,,宝山,顾村,,219,1室1厅1厨1卫,43001
,,,,,,,,,,,,,
67.97㎡,祁连四村,精装,无,低楼层 (共6层),36,南,,宝山,上大,,270,1室2厅1厨1卫,39724
,,,,,,,,,,,,,
42.47㎡,泰和路678弄,毛坯,无,低楼层 (共5层),3,南,,宝山,淞宝,,155,1室1厅1厨1卫,36497
,,,,,,,,,,,,,
96.71㎡,天馨花园(公寓),精装,无,低楼层 (共6层),40,南,,宝山,杨行,,380,3室2厅1厨1卫,39293
,,,,,,,,,,,,,
108.59㎡,庆安苑,简装,无,中楼层 (共6层),2,南,,宝山,月浦,,380,3室2厅1厨1卫,34995
,,,,,,,,,,,,,
55.84㎡,高境二村,精装,无,高楼层 (共6层),33,南,,宝山,高境,,235,1室1厅1厨1卫,42085
,,,,,,,,,,,,,
50.21㎡,淞兴路343号,简装,无,中楼层 (共6层),88,南 北,,宝山,淞宝,,160,2室0厅1厨1卫,31867
,,,,,,,,,,,,,
56.62㎡,泰和路318弄,简装,无,中楼层 (共5层),62,南,,宝山,淞宝,,173,2室1厅1厨1卫,30555
,,,,,,,,,,,,,
64.28㎡,乾溪新村,简装,无,高楼层 (共6层),30,南 北,,宝山,大场镇,,250,2室1厅1厨1卫,38893
,,,,,,,,,,,,,
90.62㎡,新天地荻泾花园,毛坯,有,高楼层 (共16层),12,南,,宝山,顾村,,335,2室2厅1厨1卫,36968
,,,,,,,,,,,,,
77.6㎡,采菊苑,精装,有,低楼层 (共11层),160,南,,宝山,顾村,,318,2室2厅1厨1卫,40980
,,,,,,,,,,,,,
60.28㎡,月浦八村,简装,有,低楼层 (共18层),7,南,,宝山,月浦,,170,2室0厅1厨1卫,28202
,,,,,,,,,,,,,
91.94㎡,景泰公寓,精装,有,中楼层 (共16层),14,南,,宝山,淞宝,,430,2室1厅1厨1卫,46770
,,,,,,,,,,,,,
44.15㎡,长征新村,简装,无,中楼层 (共5层),34,南,,宝山,淞宝,,165,2室0厅1厨1卫,37373
,,,,,,,,,,,,,
88.55㎡,丰翔新城,精装,有,低楼层 (共16层),10,南 北,,宝山,上大,,325,3室1厅1厨1卫,36703
,,,,,,,,,,,,,
51㎡,冶金小区(宝山),简装,无,中楼层 (共6层),0,南,,宝山,张庙,,255,1室1厅1厨1卫,50000
,,,,,,,,,,,,,
102.38㎡,三湘海尚城(公寓),精装,有,低楼层 (共18层),15,南,,宝山,淞南,,585,2室2厅1厨1卫,57141
,,,,,,,,,,,,,
57.91㎡,海滨四村,简装,无,高楼层 (共6层),4,东南,,宝山,淞宝,,200,2室1厅1厨1卫,34537
,,,,,,,,,,,,,
49.9㎡,海滨新村,精装,无,高楼层 (共6层),62,南,,宝山,淞宝,,175,2室0厅1厨1卫,35071
,,,,,,,,,,,,,
71.91㎡,金地艺境(宝山),精装,有,高楼层 (共33层),2,南 北,,宝山,上大,,370,2室2厅1厨1卫,51454
,,,,,,,,,,,,,
38.87㎡,宝林七村,简装,无,高楼层 (共6层),3,南,,宝山,淞宝,,140,1室1厅1厨1卫,36018
,,,,,,,,,,,,,
93.64㎡,荻泾苑,其他,无,中楼层 (共6层),0,南 北,,宝山,顾村,,270,3室1厅1厨1卫,28834
,,,,,,,,,,,,,
91.75㎡,同盛嘉园,精装,有,中楼层 (共11层),53,南,,宝山,杨行,,350,2室2厅1厨1卫,38148
,,,,,,,,,,,,,
78.49㎡,馨佳园(韶山路245弄),精装,无,高楼层 (共6层),7,南 北,,宝山,顾村,,348,2室2厅1厨1卫,44337
,,,,,,,,,,,,,
41.37㎡,宝林七村,简装,无,低楼层 (共6层),1,南,,宝山,淞宝,,168,1室1厅1厨1卫,40610
,,,,,,,,,,,,,
76.96㎡,万科琥珀郡园,精装,有,高楼层 (共6层),2,南,,宝山,罗店,,390,2室1厅1厨1卫,50676
,,,,,,,,,,,,,
44.82㎡,乾溪新村,简装,无,高楼层 (共6层),97,东 南,,宝山,大场镇,,165,1室1厅1厨1卫,36814
,,,,,,,,,,,,,
51.99㎡,宝钢十一村,简装,无,高楼层 (共6层),1,南 北,,宝山,淞宝,,210,2室1厅1厨1卫,40393
,,,,,,,,,,,,,
128㎡,美兰湖岭域,精装,有,低楼层 (共7层),38,南,,宝山,罗店,,450,3室2厅1厨2卫,35157
,,,,,,,,,,,,,
56.51㎡,罗南一村,简装,无,高楼层 (共6层),88,南,,宝山,罗店,,163,2室1厅1厨1卫,28845
,,,,,,,,,,,,,
50.89㎡,宝钢十一村,精装,无,高楼层 (共6层),24,南,,宝山,淞宝,,195,2室1厅1厨1卫,38318
,,,,,,,,,,,,,
55.66㎡,临江二村,简装,无,高楼层 (共6层),17,南,,宝山,淞宝,,220,2室1厅1厨1卫,39526
,,,,,,,,,,,,,
51.38㎡,马泾桥二村,毛坯,无,低楼层 (共4层),4,南,,宝山,月浦,,130,2室0厅1厨1卫,25302
,,,,,,,,,,,,,
44.79㎡,向阳新村(宝山),毛坯,暂无数据,高楼层 (共5层),19,南,,宝山,罗店,,108,1室1厅1厨1卫,24113
,,,,,,,,,,,,,
60.28㎡,月浦八村,简装,有,高楼层 (共18层),5,南,,宝山,月浦,,175,2室1厅1厨1卫,29032
,,,,,,,,,,,,,
32.23㎡,宝城二村,精装,无,低楼层 (共6层),4,南 北,,宝山,淞宝,,162,1室1厅1厨1卫,50264
,,,,,,,,,,,,,
52.67㎡,大华二村,精装,无,高楼层 (共6层),25,南,,宝山,大华,,239,1室1厅1厨1卫,45377
,,,,,,,,,,,,,
53.86㎡,罗南一村,简装,无,高楼层 (共6层),14,南,,宝山,罗店,,162,2室1厅1厨1卫,30078
,,,,,,,,,,,,,
122.97㎡,三湘海尚城(公寓),精装,有,高楼层 (共18层),22,南 北,,宝山,淞南,,700,3室2厅1厨1卫,56925
,,,,,,,,,,,,,
49.62㎡,泗塘七村,简装,无,低楼层 (共6层),10,南,,宝山,张庙,,195,1室1厅1厨1卫,39299
,,,,,,,,,,,,,
53.11㎡,玉华苑,简装,无,中楼层 (共6层),16,南,,宝山,大华,,299,1室1厅1厨1卫,56299
,,,,,,,,,,,,,
71.91㎡,金地艺境(宝山),精装,有,高楼层 (共33层),5,南 北,,宝山,上大,,273,2室1厅1厨1卫,37965
,,,,,,,,,,,,,
