Area,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
,,,,,,,,,,,,,
76.06㎡,好日子大家园C区,精装,无,高楼层 (共6层),145,南,,宝山,顾村,,350,2室1厅1厨1卫,46017
,,,,,,,,,,,,,
97.13㎡,国权北路413弄,精装,无,高楼层 (共6层),52,南,,宝山,高境,,480,3室2厅1厨1卫,49419
,,,,,,,,,,,,,
77.45㎡,宝宸怡景园,精装,有,低楼层 (共14层),104,南,,宝山,共康,,400,1室2厅1厨1卫,51647
,,,,,,,,,,,,,
42.22㎡,呼玛二村,精装,无,高楼层 (共6层),4,南,,宝山,张庙,,175,1室1厅1厨1卫,41450
,,,,,,,,,,,,,
41.66㎡,华浜新村,简装,无,高楼层 (共6层),11,南,,宝山,淞南,,143,1室1厅1厨1卫,34326
,,,,,,,,,,,,,
76.18㎡,馨佳园(韶山路419弄),简装,有,低楼层 (共11层),16,南 北,,宝山,顾村,,285,2室1厅1厨1卫,37412
,,,,,,,,,,,,,
125.3㎡,丰翔新城,精装,有,高楼层 (共28层),38,南 北,,宝山,上大,,418,3室2厅1厨2卫,33360
,,,,,,,,,,,,,
66.42㎡,淞南大八村,精装,无,中楼层 (共6层),8,南,,宝山,淞南,,290,2室1厅1厨1卫,43662
,,,,,,,,,,,,,
94.77㎡,万业紫辰苑,精装,有,高楼层 (共12层),7,南 北,,宝山,杨行,,390,2室2厅1厨2卫,41153
,,,,,,,,,,,,,
63.16㎡,逸仙一村,精装,无,低楼层 (共6层),47,南,,宝山,高境,,290,2室1厅1厨1卫,45916
,,,,,,,,,,,,,
92.43㎡,美兰湖岭域,毛坯,有,高楼层 (共6层),3,南 北,,宝山,罗店,,390,3室2厅1厨1卫,42195
,,,,,,,,,,,,,
98.32㎡,远洋香奈,简装,有,高楼层 (共18层),5,南 北,,宝山,杨行,,460,2室2厅1厨1卫,46787
,,,,,,,,,,,,,
68.56㎡,万业紫辰苑,简装,有,高楼层 (共12层),8,南 北,,宝山,杨行,,260,2室1厅1厨1卫,37923
,,,,,,,,,,,,,
59.37㎡,呼玛三村,精装,无,中楼层 (共6层),42,南,,宝山,张庙,,285,2室1厅1厨1卫,48005
,,,,,,,,,,,,,
99.11㎡,万科琥珀郡园,精装,有,低楼层 (共7层),90,南,,宝山,罗店,,415,3室2厅1厨1卫,41873
,,,,,,,,,,,,,
197.84㎡,美兰湖颐景园,精装,无,中楼层 (共5层),130,南,,宝山,罗店,,620,6室3厅1厨3卫,31339
,,,,,,,,,,,,,
86.43㎡,大华一村,简装,无,高楼层 (共6层),5,南,,宝山,大华,,415,2室2厅1厨1卫,48016
,,,,,,,,,,,,,
111.59㎡,新逸仙公寓,精装,无,低楼层 (共6层),8,南 北,,宝山,淞南,,520,3室2厅1厨2卫,46600
,,,,,,,,,,,,,
104.07㎡,保利叶之林(三期),精装,有,中楼层 (共13层),46,南,,宝山,上大,,535,3室2厅1厨1卫,51408
,,,,,,,,,,,,,
125.95㎡,宝钢五村,其他,无,高楼层 (共7层),3,南,,宝山,淞宝,,420,3室1厅1厨1卫,33347
,,,,,,,,,,,,,
92.55㎡,美兰湖岭域,精装,有,低楼层 (共6层),9,南,,宝山,罗店,,360,2室2厅1厨1卫,38898
,,,,,,,,,,,,,
78.57㎡,馨佳园(菊泉街1398弄),毛坯,有,高楼层 (共24层),1,南 北,,宝山,顾村,,285,2室1厅1厨1卫,36274
,,,,,,,,,,,,,
44.6㎡,葑润华庭,精装,无,低楼层 (共6层),21,南,,宝山,上大,,218,1室1厅1厨1卫,48879
,,,,,,,,,,,,,
96.37㎡,馨佳园(菊盛路851弄),精装,有,低楼层 (共16层),37,南 北,,宝山,顾村,,369,3室2厅1厨1卫,38290
,,,,,,,,,,,,,
92.51㎡,美树铭家,简装,无,中楼层 (共6层),29,南,,宝山,张庙,,450,2室2厅1厨1卫,48644
,,,,,,,,,,,,,
99.64㎡,和欣国际花园,精装,有,高楼层 (共17层),4,南 北,,宝山,共康,,620,2室2厅1厨1卫,62225
,,,,,,,,,,,,,
173.14㎡,枫庭丽苑,精装,有,高楼层 (共11层),84,南,,宝山,大华,,920,5室2厅1厨2卫,53137
,,,,,,,,,,,,,
96㎡,馨佳园(菊盛路851弄),精装,有,低楼层 (共18层),49,南 北,,宝山,顾村,,360,3室2厅1厨1卫,37500
,,,,,,,,,,,,,
77.48㎡,馨佳园(菊泉街1398弄),精装,有,高楼层 (共24层),41,南,,宝山,顾村,,278,2室1厅2厨1卫,35881
,,,,,,,,,,,,,
89.31㎡,美兰湖中华园,精装,有,高楼层 (共6层),32,南,,宝山,罗店,,410,4室2厅1厨2卫,45908
,,,,,,,,,,,,,
123.44㎡,象屿郦庭,精装,有,低楼层 (共13层),51,南,,宝山,高境,,735,4室2厅1厨2卫,59544
,,,,,,,,,,,,,
43.75㎡,海滨八村,简装,无,中楼层 (共6层),5,南,,宝山,淞宝,,175,1室1厅1厨1卫,40000
,,,,,,,,,,,,,
82.82㎡,文华苑(宝山),精装,无,高楼层 (共6层),51,南,,宝山,大华,,420,2室2厅1厨1卫,50713
,,,,,,,,,,,,,
146㎡,保利叶之林(三期),精装,有,低楼层 (共14层),7,南,,宝山,上大,,770,4室2厅1厨2卫,52740
,,,,,,,,,,,,,
44.33㎡,月浦九村,简装,无,高楼层 (共6层),31,南,,宝山,月浦,,128,1室1厅1厨1卫,28875
,,,,,,,,,,,,,
82.38㎡,四季绿城,精装,无,中楼层 (共6层),35,南,,宝山,高境,,445,2室1厅1厨1卫,54018
,,,,,,,,,,,,,
56.59㎡,成亿宝盛家苑,简装,无,高楼层 (共6层),3,南,,宝山,顾村,,220,1室1厅1厨1卫,38877
,,,,,,,,,,,,,
83.46㎡,馨佳园(韶山路419弄),精装,有,高楼层 (共14层),3,南 北,,宝山,顾村,,320,2室2厅1厨1卫,38342
,,,,,,,,,,,,,
77.31㎡,中怡家园,毛坯,有,低楼层 (共18层),2,南 北,,宝山,顾村,,280,2室1厅1厨1卫,36218
,,,,,,,,,,,,,
70.62㎡,共富三村,精装,无,高楼层 (共6层),10,南,,宝山,共富,,280,2室1厅1厨1卫,39649
,,,,,,,,,,,,,
87.21㎡,保利叶上海(二期),精装,有,低楼层 (共30层),13,南 北,,宝山,顾村,,470,3室1厅1厨2卫,53893
,,,,,,,,,,,,,
62.7㎡,民主花园,简装,无,低楼层 (共6层),31,南,,宝山,张庙,,270,3室2厅1厨1卫,43063
,,,,,,,,,,,,,
55.46㎡,呼玛四村,精装,无,中楼层 (共6层),22,南,,宝山,张庙,,250,2室1厅1厨1卫,45078
,,,,,,,,,,,,,
89.98㎡,富辰花苑,精装,无,高楼层 (共6层),31,南,,宝山,罗店,,280,3室2厅1厨1卫,31119
,,,,,,,,,,,,,
82.4㎡,四季绿城,精装,有,低楼层 (共11层),20,南,,宝山,高境,,399,1室2厅1厨1卫,48423
,,,,,,,,,,,,,
64.73㎡,逸仙二村,简装,无,中楼层 (共7层),18,南 北,,宝山,高境,,290,2室1厅1厨1卫,44802
,,,,,,,,,,,,,
54.28㎡,春江美庐(公寓),精装,有,高楼层 (共18层),34,南,,宝山,杨行,,248,1室1厅1厨1卫,45690
,,,,,,,,,,,,,
102.42㎡,宝景苑,毛坯,有,中楼层 (共11层),29,南 北,,宝山,淞南,,505,2室2厅1厨1卫,49307
,,,,,,,,,,,,,
64.11㎡,呼玛四村,简装,无,高楼层 (共6层),34,南,,宝山,张庙,,245,2室1厅1厨1卫,38216
,,,,,,,,,,,,,
87.06㎡,三门路505弄,精装,无,高楼层 (共6层),79,南,,宝山,高境,,380,2室2厅1厨1卫,43649
,,,,,,,,,,,,,
54.57㎡,海江新村,简装,无,中楼层 (共10层),49,南 北,,宝山,淞宝,,198,2室1厅1厨1卫,36284
,,,,,,,,,,,,,
107.49㎡,海尚明城,精装,有,低楼层 (共15层),50,南,,宝山,杨行,,390,3室2厅1厨1卫,36283
,,,,,,,,,,,,,
174.8㎡,美兰湖颐景园,简装,有,中楼层 (共6层),3,南 北,,宝山,罗店,,576,6室2厅1厨2卫,32952
,,,,,,,,,,,,,
92.95㎡,大华一村,精装,无,高楼层 (共6层),20,南,,宝山,大华,,425,2室1厅1厨1卫,45724
,,,,,,,,,,,,,
73.38㎡,宝城一村,简装,无,高楼层 (共6层),18,南,,宝山,淞宝,,300,2室1厅1厨1卫,40884
,,,,,,,,,,,,,
91.55㎡,富长苑,精装,无,中楼层 (共6层),1,南,,宝山,罗店,,330,2室2厅1厨1卫,36046
,,,,,,,,,,,,,
71.99㎡,金地艺境(宝山),精装,有,低楼层 (共33层),1,南,,宝山,上大,,268,2室1厅1厨1卫,37228
,,,,,,,,,,,,,
64.41㎡,通河一村,简装,有,高楼层 (共13层),11,南,,宝山,张庙,,280,2室1厅1厨1卫,43472
,,,,,,,,,,,,,
41.03㎡,泗塘四村,简装,无,低楼层 (共6层),42,南,,宝山,张庙,,165,1室1厅1厨1卫,40215
,,,,,,,,,,,,,
81.96㎡,馨良苑,毛坯,有,低楼层 (共14层),144,南,,宝山,高境,,412,2室1厅1厨1卫,50269
,,,,,,,,,,,,,
95.2㎡,绿洲花园,毛坯,有,中楼层 (共11层),51,南 北,,宝山,顾村,,344,2室2厅1厨1卫,36135
,,,,,,,,,,,,,
46.96㎡,宝钢三村,简装,无,中楼层 (共5层),4,南,,宝山,淞宝,,220,2室0厅1厨1卫,46849
,,,,,,,,,,,,,
90.25㎡,保利叶语(二期)(公寓),精装,有,低楼层 (共21层),128,南,,宝山,顾村,,435,2室2厅1厨1卫,48200
,,,,,,,,,,,,,
70.69㎡,馨佳园(菊盛路851弄),精装,无,高楼层 (共6层),49,南 北,,宝山,顾村,,280,2室1厅1厨1卫,39610
,,,,,,,,,,,,,
87.64㎡,荣域飘鹰锦和花园(公寓),简装,有,高楼层 (共14层),105,南,,宝山,杨行,,370,2室2厅1厨1卫,42219
,,,,,,,,,,,,,
50.25㎡,宝山二村,简装,无,中楼层 (共6层),25,南,,宝山,淞宝,,199,1室1厅1厨1卫,39602
,,,,,,,,,,,,,
126.18㎡,顺驰美兰湖,精装,无,低楼层 (共5层),67,南,,宝山,罗店,,430,4室2厅1厨2卫,34079
,,,,,,,,,,,,,
124.89㎡,丰翔新城,简装,有,高楼层 (共31层),67,南 北,,宝山,上大,,410,3室2厅1厨2卫,32829
,,,,,,,,,,,,,
89㎡,祁连四村,简装,无,高楼层 (共6层),20,南,,宝山,上大,,348,2室2厅1厨1卫,39102
,,,,,,,,,,,,,
69.14㎡,吉浦路615弄,简装,无,高楼层 (共7层),3,南,,宝山,高境,,290,2室1厅1厨1卫,41944
,,,,,,,,,,,,,
164.19㎡,美兰湖中华园,精装,有,低楼层 (共6层),11,南,,宝山,罗店,,600,3室2厅1厨2卫,36544
,,,,,,,,,,,,,
104.8㎡,共富二村,精装,有,中楼层 (共11层),3,南,,宝山,共富,,408,2室1厅1厨1卫,38932
,,,,,,,,,,,,,
70.94㎡,共富一村,简装,无,高楼层 (共6层),34,南,,宝山,共富,,250,2室1厅1厨1卫,35242
,,,,,,,,,,,,,
89.77㎡,宝沁苑,简装,有,高楼层 (共18层),9,南 北,,宝山,顾村,,328,2室2厅1厨1卫,36538
,,,,,,,,,,,,,
84.14㎡,高境二村,精装,无,高楼层 (共6层),48,南,,宝山,高境,,355,3室1厅1厨1卫,42192
,,,,,,,,,,,,,
64.02㎡,锦秋花园(公寓),简装,有,中楼层 (共16层),74,南,,宝山,上大,,345,2室1厅1厨1卫,53890
,,,,,,,,,,,,,
108.14㎡,枫庭丽苑,精装,无,中楼层 (共6层),27,南 北,,宝山,大华,,595,3室2厅1厨1卫,55022
,,,,,,,,,,,,,
134㎡,香逸湾,精装,有,中楼层 (共13层),0,南,,宝山,杨行,,600,4室2厅1厨2卫,44777
,,,,,,,,,,,,,
77.18㎡,祁南二村,其他,无,高楼层 (共6层),13,南,,宝山,罗店,,175,2室1厅1厨1卫,22675
,,,,,,,,,,,,,
53.86㎡,菊泉新城(菊泉街39弄),毛坯,无,高楼层 (共6层),35,南,,宝山,顾村,,187,1室1厅1厨1卫,34720
,,,,,,,,,,,,,
64.7㎡,共康七村,简装,无,高楼层 (共7层),43,南,,宝山,共康,,276,2室2厅1厨1卫,42659
,,,,,,,,,,,,,
95.29㎡,保利叶上海(二期),毛坯,有,中楼层 (共24层),8,东 西,,宝山,顾村,,475,3室2厅1厨2卫,49848
,,,,,,,,,,,,,
56.45㎡,永清二村,简装,无,中楼层 (共6层),32,南 北,,宝山,淞宝,,220,2室1厅1厨1卫,38973
,,,,,,,,,,,,,
107.73㎡,四季绿城,简装,无,中楼层 (共6层),9,南 北,,宝山,高境,,565,3室2厅1厨1卫,52446
,,,,,,,,,,,,,
88.63㎡,三花现代城(一期丹桂苑),毛坯,有,高楼层 (共16层),0,南 北,,宝山,高境,,570,2室2厅1厨1卫,64313
,,,,,,,,,,,,,
107.82㎡,枫庭丽苑,精装,无,中楼层 (共6层),9,南 北,,宝山,大华,,630,3室2厅1厨2卫,58431
,,,,,,,,,,,,,
87㎡,杨泰三村,精装,无,高楼层 (共6层),6,南 北,,宝山,杨行,,280,3室2厅1厨1卫,32184
,,,,,,,,,,,,,
76.48㎡,新顾村大家园C区,毛坯,无,高楼层 (共6层),7,南,,宝山,顾村,,310,3室1厅1厨1卫,40534
,,,,,,,,,,,,,
84.62㎡,保利叶上海(二期),精装,有,低楼层 (共24层),4,南,,宝山,顾村,,450,3室2厅1厨1卫,53179
,,,,,,,,,,,,,
59.34㎡,淞南七村,简装,无,高楼层 (共6层),46,南,,宝山,淞南,,218,2室1厅1厨1卫,36738
,,,,,,,,,,,,,
84.05㎡,美兰湖颐景园,精装,无,低楼层 (共5层),23,南 北,,宝山,罗店,,288,2室2厅1厨1卫,34266
,,,,,,,,,,,,,
79.67㎡,高境二村,简装,无,高楼层 (共6层),21,南,,宝山,高境,,338,2室1厅1厨1卫,42426
,,,,,,,,,,,,,
118㎡,北郊一号,其他,暂无数据,高楼层 (共18层),0,南 东 西,,宝山,罗泾,,290,3室2厅1厨2卫,24577
,,,,,,,,,,,,,
100.37㎡,康桥水都(公寓),简装,无,高楼层 (共6层),19,南,,宝山,杨行,,350,2室2厅1厨1卫,34871
,,,,,,,,,,,,,
157.77㎡,万科琥珀臻园,精装,无,中楼层 (共5层),42,南,,宝山,罗店,,540,3室2厅1厨2卫,34228
,,,,,,,,,,,,,
46.7㎡,美岸栖庭(公寓),简装,有,中楼层 (共18层),5,南,,宝山,高境,,248,1室1厅1厨1卫,53105
,,,,,,,,,,,,,
79.93㎡,保利叶上海(一期),简装,有,低楼层 (共27层),72,南,,宝山,顾村,,335,2室2厅1厨1卫,41912
,,,,,,,,,,,,,
61.61㎡,祁连四村,简装,无,低楼层 (共6层),21,南,,宝山,上大,,260,1室1厅1厨1卫,42201
,,,,,,,,,,,,,
138.85㎡,吴淞新城,精装,有,中楼层 (共16层),6,南 北,,宝山,淞宝,,680,3室2厅1厨2卫,48974
,,,,,,,,,,,,,
110.35㎡,淞浦苑,精装,有,低楼层 (共11层),25,南 北,,宝山,淞南,,425,2室2厅1厨1卫,38514
,,,,,,,,,,,,,
112.09㎡,学林苑,简装,有,中楼层 (共10层),0,南,,宝山,上大,,538,3室2厅1厨2卫,47998
,,,,,,,,,,,,,
83.31㎡,美树铭家,其他,无,低楼层 (共6层),0,南,,宝山,张庙,,450,2室2厅1厨1卫,54016
,,,,,,,,,,,,,
78.77㎡,金棠苑,其他,无,高楼层 (共6层),3,南,,宝山,张庙,,325,2室1厅1厨1卫,41260
,,,,,,,,,,,,,
155㎡,宝山三村,简装,无,中楼层 (共5层),4,南,,宝山,淞宝,,690,4室1厅1厨2卫,44517
,,,,,,,,,,,,,
66.77㎡,淞南五村,简装,无,高楼层 (共6层),9,南 北,,宝山,淞南,,260,2室1厅1厨1卫,38940
,,,,,,,,,,,,,
55.04㎡,呼玛一村,简装,无,高楼层 (共6层),2,南 北,,宝山,张庙,,228,2室1厅1厨1卫,41425
,,,,,,,,,,,,,
71㎡,菊泉新城(陆翔路358弄),精装,无,低楼层 (共6层),149,南,,宝山,顾村,,285,2室1厅1厨1卫,40141
,,,,,,,,,,,,,
99.82㎡,南华苑,精装,无,高楼层 (共6层),29,南 北,,宝山,大华,,519,2室2厅1厨2卫,51994
,,,,,,,,,,,,,
53.35㎡,呼玛二村,简装,无,高楼层 (共6层),15,南,,宝山,张庙,,220,2室1厅1厨1卫,41238
,,,,,,,,,,,,,
50.93㎡,古北菊翔苑(菊联路233弄),简装,无,中楼层 (共6层),18,南 北,,宝山,顾村,,225,1室1厅1厨1卫,44179
,,,,,,,,,,,,,
135.88㎡,华能城市花园,简装,有,高楼层 (共18层),17,南,,宝山,淞宝,,730,3室2厅1厨2卫,53724
,,,,,,,,,,,,,
153.85㎡,金地艺境(宝山),精装,有,中楼层 (共27层),13,南 北,,宝山,上大,,645,4室2厅1厨2卫,41924
,,,,,,,,,,,,,
63.2㎡,梧桐城邦(二期),精装,有,低楼层 (共7层),139,南,,宝山,大华,,365,1室2厅1厨1卫,57754
,,,,,,,,,,,,,
66.48㎡,通河二村,精装,有,低楼层 (共13层),14,南,,宝山,通河,,299,2室1厅1厨1卫,44976
,,,,,,,,,,,,,
42.9㎡,月浦八村,简装,有,中楼层 (共14层),35,东南,,宝山,月浦,,125,1室1厅1厨1卫,29138
,,,,,,,,,,,,,
80.53㎡,万科琥珀郡园,毛坯,有,高楼层 (共6层),132,南,,宝山,罗店,,438,3室2厅1厨2卫,54390
,,,,,,,,,,,,,
135.01㎡,高境一村,精装,有,低楼层 (共18层),87,南,,宝山,高境,,535,2室2厅1厨2卫,39627
,,,,,,,,,,,,,
116.34㎡,保利叶语(二期)(公寓),毛坯,有,高楼层 (共21层),76,南 北,,宝山,顾村,,605,4室2厅1厨1卫,52003
,,,,,,,,,,,,,
97.68㎡,新城尚景,精装,有,低楼层 (共16层),45,南 北,,宝山,淞南,,470,2室2厅1厨1卫,48117
,,,,,,,,,,,,,
96.78㎡,屹立家园,精装,无,低楼层 (共6层),2,南,,宝山,共康,,490,2室2厅1厨1卫,50631
,,,,,,,,,,,,,
104.8㎡,共富二村,简装,有,中楼层 (共11层),2,南 北,,宝山,共富,,408,2室2厅1厨1卫,38932
,,,,,,,,,,,,,
77.06㎡,民主花园,简装,无,高楼层 (共6层),0,南,,宝山,张庙,,385,2室1厅1厨1卫,49962
,,,,,,,,,,,,,
52.12㎡,大华一村,精装,无,高楼层 (共6层),4,南,,宝山,大华,,230,1室1厅1厨1卫,44129
,,,,,,,,,,,,,
64.02㎡,民悦苑,精装,无,高楼层 (共6层),1,南,,宝山,张庙,,335,1室1厅1厨1卫,52328
,,,,,,,,,,,,,
117.41㎡,大华公园世家康华苑,精装,有,低楼层 (共11层),1,南,,宝山,大华,,620,3室2厅1厨1卫,52807
,,,,,,,,,,,,,
48.48㎡,通河七村,精装,无,高楼层 (共6层),15,南 北,,宝山,通河,,200,1室1厅1厨1卫,41255
,,,,,,,,,,,,,
87.25㎡,新城尚景,精装,有,中楼层 (共7层),27,南,,宝山,淞南,,390,2室1厅1厨1卫,44700
,,,,,,,,,,,,,
138.08㎡,君邑地中海(公寓),精装,有,中楼层 (共18层),13,南,,宝山,大场镇,,730,4室2厅1厨2卫,52868
,,,,,,,,,,,,,
91.74㎡,金地艺境(宝山),精装,有,低楼层 (共32层),15,南,,宝山,上大,,365,2室2厅1厨1卫,39787
,,,,,,,,,,,,,
104.68㎡,保利叶之林(三期),精装,有,低楼层 (共13层),0,南,,宝山,上大,,580,3室2厅1厨1卫,55407
,,,,,,,,,,,,,
41.46㎡,大华二村,精装,无,高楼层 (共6层),52,南,,宝山,大华,,209,1室1厅1厨1卫,50411
,,,,,,,,,,,,,
121.53㎡,恺源景江苑,精装,无,高楼层 (共6层),3,南,,宝山,淞宝,,630,3室2厅1厨2卫,51840
,,,,,,,,,,,,,
45.8㎡,好旺花苑,简装,无,高楼层 (共6层),17,南,,宝山,大华,,222,1室1厅1厨1卫,48472
,,,,,,,,,,,,,
60.3㎡,锦龙苑,简装,无,低楼层 (共6层),19,南 北,,宝山,上大,,263,2室1厅1厨1卫,43616
,,,,,,,,,,,,,
62.05㎡,泗塘五村,简装,无,高楼层 (共6层),4,南,,宝山,张庙,,220,2室1厅1厨1卫,35456
,,,,,,,,,,,,,
93.74㎡,信达郡庭,精装,有,低楼层 (共8层),14,南 北,,宝山,罗店,,390,3室2厅1厨1卫,41605
,,,,,,,,,,,,,
87.86㎡,美兰湖中华园,毛坯,无,中楼层 (共6层),7,南,,宝山,罗店,,330,2室1厅1厨1卫,37560
,,,,,,,,,,,,,
73.24㎡,高境一村,简装,无,高楼层 (共6层),43,南,,宝山,高境,,315,2室1厅1厨1卫,43010
,,,,,,,,,,,,,
129.79㎡,好日子大家园D区,简装,暂无数据,高楼层 (共6层),32,南 北,,宝山,顾村,,389,3室2厅0厨2卫,29972
,,,,,,,,,,,,,
100.95㎡,宝山八村,简装,无,高楼层 (共5层),11,南 北,,宝山,淞宝,,430,3室1厅1厨1卫,42596
,,,,,,,,,,,,,
42.38㎡,永清新村,简装,无,高楼层 (共6层),39,南,,宝山,淞宝,,160,2室1厅1厨1卫,37754
,,,,,,,,,,,,,
56.07㎡,康泰新城,简装,无,低楼层 (共6层),68,南,,宝山,大华,,278,1室1厅1厨1卫,49581
,,,,,,,,,,,,,
55.94㎡,密山新村,简装,无,高楼层 (共6层),8,南 北,,宝山,淞宝,,230,2室1厅1厨1卫,41116
,,,,,,,,,,,,,
84.2㎡,双城路2弄,简装,无,低楼层 (共6层),8,南,,宝山,淞宝,,330,2室2厅1厨1卫,39193
,,,,,,,,,,,,,
43.93㎡,逸仙路1321弄,简装,无,高楼层 (共6层),34,南,,宝山,高境,,177,1室1厅1厨1卫,40292
,,,,,,,,,,,,,
51.2㎡,泗塘二村,简装,无,高楼层 (共6层),8,南,,宝山,张庙,,210,2室1厅1厨1卫,41016
,,,,,,,,,,,,,
89.68㎡,上大阳光乾清园,简装,无,中楼层 (共6层),1,南,,宝山,上大,,430,2室2厅1厨1卫,47949
,,,,,,,,,,,,,
73.13㎡,永清路171弄,简装,无,高楼层 (共6层),5,南,,宝山,淞宝,,290,3室1厅1厨1卫,39656
,,,,,,,,,,,,,
55.34㎡,通河二村,精装,无,高楼层 (共6层),21,南,,宝山,通河,,248,2室1厅1厨1卫,44814
,,,,,,,,,,,,,
61.55㎡,海江新村,简装,有,低楼层 (共10层),16,南,,宝山,淞宝,,230,2室1厅1厨1卫,37368
,,,,,,,,,,,,,
85.49㎡,大华二村,简装,无,高楼层 (共6层),15,南,,宝山,大华,,387,3室1厅1厨1卫,45269
,,,,,,,,,,,,,
54.21㎡,通河八村,简装,无,高楼层 (共6层),15,南,,宝山,通河,,223,2室1厅1厨1卫,41137
,,,,,,,,,,,,,
47.33㎡,宝钢三村,精装,无,低楼层 (共6层),17,南 北,,宝山,淞宝,,230,2室1厅1厨1卫,48595
,,,,,,,,,,,,,
79.5㎡,菊泉新城(陆翔路698弄),精装,有,低楼层 (共11层),7,南 北,,宝山,顾村,,280,2室2厅1厨1卫,35221
,,,,,,,,,,,,,
89.65㎡,共富二村,简装,无,中楼层 (共6层),34,南,,宝山,共富,,330,2室2厅1厨1卫,36810
,,,,,,,,,,,,,
138.52㎡,柏丽华庭,精装,有,高楼层 (共18层),6,南,,宝山,杨行,,550,3室2厅1厨2卫,39706
,,,,,,,,,,,,,
112㎡,绿地海域笙晖(公寓),精装,有,低楼层 (共16层),25,南 北,,宝山,杨行,,520,3室1厅1厨2卫,46429
,,,,,,,,,,,,,
53.68㎡,共康六村,简装,无,高楼层 (共6层),61,南,,宝山,共康,,228,2室1厅1厨1卫,42474
,,,,,,,,,,,,,
93.02㎡,成亿宝盛家苑,精装,无,高楼层 (共6层),38,南 北,,宝山,顾村,,330,3室2厅1厨1卫,35477
,,,,,,,,,,,,,
88㎡,泰禾红御,精装,暂无数据,高楼层 (共18层),30,南,,宝山,高境,,615,2室2厅1厨1卫,69887
,,,,,,,,,,,,,
42.54㎡,高境一村,精装,无,高楼层 (共6层),6,南 北,,宝山,高境,,187,1室1厅1厨1卫,43959
,,,,,,,,,,,,,
57.27㎡,馨良苑,精装,无,高楼层 (共6层),57,南,,宝山,高境,,310,1室2厅1厨1卫,54130
,,,,,,,,,,,,,
70.48㎡,淞南七村,简装,无,高楼层 (共6层),61,南,,宝山,淞南,,253,2室1厅1厨1卫,35897
,,,,,,,,,,,,,
75.97㎡,呼玛四村,简装,无,中楼层 (共6层),20,南,,宝山,张庙,,330,3室1厅1厨1卫,43439
,,,,,,,,,,,,,
126.66㎡,景泰公寓,简装,有,低楼层 (共16层),19,南,,宝山,淞宝,,535,3室2厅1厨2卫,42240
,,,,,,,,,,,,,
73㎡,旭辉城,精装,暂无数据,中楼层 (共7层),18,南,,宝山,罗泾,,202,2室1厅1厨1卫,27672
,,,,,,,,,,,,,
95.11㎡,菊泉新城(菊盛路50弄),精装,无,低楼层 (共6层),15,南 北,,宝山,顾村,,380,3室2厅1厨1卫,39954
,,,,,,,,,,,,,
53.33㎡,宝林五村,简装,无,高楼层 (共6层),3,南,,宝山,淞宝,,200,2室1厅1厨1卫,37503
,,,,,,,,,,,,,
43.48㎡,永清二村,简装,无,高楼层 (共6层),1,南,,宝山,淞宝,,168,1室1厅1厨1卫,38639
,,,,,,,,,,,,,
78.62㎡,双城路650弄,简装,无,高楼层 (共6层),5,南,,宝山,淞宝,,290,2室1厅1厨1卫,36887
,,,,,,,,,,,,,
48.05㎡,海滨五村,精装,无,高楼层 (共6层),1,南,,宝山,淞宝,,178,2室1厅1厨1卫,37045
,,,,,,,,,,,,,
56.36㎡,三花现代城(二期香梅苑),精装,有,高楼层 (共17层),21,南,,宝山,高境,,370,1室1厅1厨1卫,65650
,,,,,,,,,,,,,
56.58㎡,通河六村,简装,无,中楼层 (共6层),1,南,,宝山,通河,,250,1室1厅1厨1卫,44186
,,,,,,,,,,,,,
42.27㎡,海滨七村,简装,无,高楼层 (共6层),0,南,,宝山,淞宝,,155,1室1厅1厨1卫,36670
,,,,,,,,,,,,,
63.45㎡,共富二村,简装,无,中楼层 (共6层),4,南,,宝山,共富,,250,1室1厅1厨1卫,39402
,,,,,,,,,,,,,
114.75㎡,沈巷新村,简装,无,高楼层 (共6层),3,南,,宝山,月浦,,255,3室2厅1厨1卫,22223
,,,,,,,,,,,,,
49.89㎡,共康七村,简装,无,高楼层 (共6层),2,南,,宝山,共康,,240,1室1厅1厨1卫,48106
,,,,,,,,,,,,,
51.06㎡,海滨新村,毛坯,无,高楼层 (共6层),1,南,,宝山,淞宝,,190,2室1厅1厨1卫,37212
,,,,,,,,,,,,,
123.85㎡,富辰花苑,简装,无,高楼层 (共6层),3,南,,宝山,罗店,,373,3室2厅1厨2卫,30118
,,,,,,,,,,,,,
51.82㎡,宝钢十一村,简装,无,高楼层 (共6层),0,南 北,,宝山,淞宝,,195,2室1厅1厨1卫,37631
,,,,,,,,,,,,,
49.95㎡,月浦四村,简装,无,中楼层 (共6层),4,东南,,宝山,月浦,,148,2室0厅1厨1卫,29630
,,,,,,,,,,,,,
32.25㎡,泰和路309弄,毛坯,无,中楼层 (共5层),0,南,,宝山,淞宝,,120,1室0厅1厨1卫,37210
,,,,,,,,,,,,,
68.7㎡,海滨新村,简装,无,中楼层 (共4层),1,南,,宝山,淞宝,,280,2室1厅1厨1卫,40757
,,,,,,,,,,,,,
43.9㎡,大华一村,简装,无,高楼层 (共6层),3,南 北,,宝山,大华,,205,1室1厅1厨1卫,46698
,,,,,,,,,,,,,
